scenario,strat,success,total_message_count,numb_of_a_constraints_present,numb_of_a_that_are_constraints_discovered,numb_of_b_constraints_present,numb_of_b_that_are_constraints_discovered
column,random,True,82,0,0,0,0
column,constraint,True,2,5,0,0,0
column,random,True,202,0,0,0,0
column,constraint,True,5,5,1,0,0
column,random,True,22,0,0,0,0
column,constraint,True,106,5,5,0,0
column,random,True,10,0,0,0,0
column,constraint,True,87,5,5,0,0
column,random,True,84,0,0,0,0
column,constraint,True,11,5,2,0,0
column,random,True,120,0,0,0,0
column,constraint,True,55,5,5,0,0
column,random,True,176,0,0,0,0
column,constraint,True,378,5,5,0,0
column,random,True,136,0,0,0,0
column,constraint,True,39,5,5,0,0
column,random,True,211,0,0,0,0
column,constraint,True,29,5,5,0,0
column,random,False,502,0,0,0,0
column,constraint,True,18,5,4,0,0
column,random,True,75,0,0,0,0
column,constraint,True,55,5,5,0,0
column,random,True,114,0,0,0,0
column,constraint,True,72,5,5,0,0
column,random,True,30,0,0,0,0
column,constraint,True,77,5,5,0,0
column,random,True,305,0,0,0,0
column,constraint,True,78,5,5,0,0
column,random,True,123,0,0,0,0
column,constraint,True,45,5,5,0,0
column,random,True,137,0,0,0,0
column,constraint,True,11,5,1,0,0
column,random,True,328,0,0,0,0
column,constraint,True,135,5,5,0,0
column,random,True,198,0,0,0,0
column,constraint,True,25,5,3,0,0
column,random,True,49,0,0,0,0
column,constraint,True,22,5,5,0,0
column,random,True,115,0,0,0,0
column,constraint,True,69,5,5,0,0
column,random,True,71,0,0,0,0
column,constraint,True,53,5,5,0,0
column,random,True,54,0,0,0,0
column,constraint,True,92,5,5,0,0
column,random,True,123,0,0,0,0
column,constraint,True,8,5,1,0,0
column,random,True,16,0,0,0,0
column,constraint,True,95,5,5,0,0
column,random,True,37,0,0,0,0
column,constraint,True,65,5,5,0,0
column,random,True,112,0,0,0,0
column,constraint,True,2,5,0,0,0
column,random,True,168,0,0,0,0
column,constraint,True,131,5,5,0,0
column,random,True,92,0,0,0,0
column,constraint,True,147,5,5,0,0
column,random,True,79,0,0,0,0
column,constraint,True,81,5,5,0,0
column,random,True,68,0,0,0,0
column,constraint,True,263,5,5,0,0
column,random,True,24,0,0,0,0
column,constraint,True,35,5,5,0,0
column,random,True,59,0,0,0,0
column,constraint,True,79,5,5,0,0
column,random,True,118,0,0,0,0
column,constraint,True,168,5,5,0,0
column,random,True,215,0,0,0,0
column,constraint,True,6,5,2,0,0
column,random,True,270,0,0,0,0
column,constraint,True,103,5,5,0,0
column,random,True,272,0,0,0,0
column,constraint,True,59,5,5,0,0
column,random,True,186,0,0,0,0
column,constraint,True,45,5,5,0,0
column,random,True,84,0,0,0,0
column,constraint,True,78,5,5,0,0
column,random,True,36,0,0,0,0
column,constraint,True,111,5,5,0,0
column,random,True,58,0,0,0,0
column,constraint,True,2,5,0,0,0
column,random,True,40,0,0,0,0
column,constraint,True,214,5,5,0,0
column,random,True,38,0,0,0,0
column,constraint,True,191,5,5,0,0
column,random,True,92,0,0,0,0
column,constraint,True,90,5,5,0,0
column,random,True,14,0,0,0,0
column,constraint,True,66,5,5,0,0
column,random,True,216,0,0,0,0
column,constraint,True,45,5,5,0,0
column,random,True,180,0,0,0,0
column,constraint,True,43,5,4,0,0
column,random,True,140,0,0,0,0
column,constraint,True,179,5,5,0,0
column,random,True,110,0,0,0,0
column,constraint,True,71,5,5,0,0
column,random,True,80,0,0,0,0
column,constraint,True,45,5,5,0,0
column,random,True,230,0,0,0,0
column,constraint,True,160,5,5,0,0
column,random,True,13,0,0,0,0
column,constraint,True,84,5,5,0,0
column,random,True,78,0,0,0,0
column,constraint,True,11,5,3,0,0
column,random,True,17,0,0,0,0
column,constraint,True,101,5,5,0,0
column,random,True,52,0,0,0,0
column,constraint,True,351,5,5,0,0
column,random,True,11,0,0,0,0
column,constraint,True,113,5,5,0,0
column,random,True,356,0,0,0,0
column,constraint,True,147,5,5,0,0
column,random,True,194,0,0,0,0
column,constraint,True,37,5,4,0,0
column,random,True,8,0,0,0,0
column,constraint,True,63,5,5,0,0
column,random,True,3,0,0,0,0
column,constraint,True,14,5,5,0,0
column,random,True,190,0,0,0,0
column,constraint,True,241,5,5,0,0
column,random,True,93,0,0,0,0
column,constraint,True,23,5,5,0,0
column,random,True,42,0,0,0,0
column,constraint,True,35,5,4,0,0
column,random,True,6,0,0,0,0
column,constraint,True,11,5,4,0,0
column,random,True,13,0,0,0,0
column,constraint,True,60,5,5,0,0
column,random,True,106,0,0,0,0
column,constraint,True,268,5,5,0,0
column,random,True,2,0,0,0,0
column,constraint,True,63,5,5,0,0
column,random,True,320,0,0,0,0
column,constraint,True,11,5,2,0,0
column,random,True,49,0,0,0,0
column,constraint,True,29,5,4,0,0
column,random,True,70,0,0,0,0
column,constraint,True,370,5,5,0,0
column,random,True,104,0,0,0,0
column,constraint,True,6,5,2,0,0
column,random,True,380,0,0,0,0
column,constraint,True,40,5,5,0,0
column,random,True,41,0,0,0,0
column,constraint,True,6,5,1,0,0
column,random,True,4,0,0,0,0
column,constraint,True,163,5,5,0,0
column,random,True,262,0,0,0,0
column,constraint,True,39,5,5,0,0
column,random,True,86,0,0,0,0
column,constraint,True,192,5,5,0,0
column,random,True,248,0,0,0,0
column,constraint,True,6,5,2,0,0
column,random,True,67,0,0,0,0
column,constraint,True,6,5,2,0,0
column,random,True,344,0,0,0,0
column,constraint,True,91,5,5,0,0
column,random,True,65,0,0,0,0
column,constraint,True,178,5,5,0,0
column,random,True,166,0,0,0,0
column,constraint,True,63,5,5,0,0
column,random,True,241,0,0,0,0
column,constraint,True,23,5,4,0,0
column,random,True,46,0,0,0,0
column,constraint,True,115,5,5,0,0
column,random,True,9,0,0,0,0
column,constraint,True,98,5,5,0,0
column,random,True,49,0,0,0,0
column,constraint,True,29,5,5,0,0
column,random,True,5,0,0,0,0
column,constraint,True,36,5,5,0,0
column,random,True,105,0,0,0,0
column,constraint,True,4,5,1,0,0
column,random,True,52,0,0,0,0
column,constraint,True,72,5,5,0,0
column,random,True,102,0,0,0,0
column,constraint,True,73,5,5,0,0
column,random,True,93,0,0,0,0
column,constraint,True,23,5,5,0,0
column,random,True,66,0,0,0,0
column,constraint,True,99,5,5,0,0
column,random,True,6,0,0,0,0
column,constraint,True,126,5,5,0,0
column,random,True,18,0,0,0,0
column,constraint,True,361,5,5,0,0
column,random,False,502,0,0,0,0
column,constraint,True,173,5,5,0,0
column,random,True,34,0,0,0,0
column,constraint,True,62,5,5,0,0
column,random,True,38,0,0,0,0
column,constraint,True,66,5,5,0,0
column,random,True,133,0,0,0,0
column,constraint,True,42,5,5,0,0
column,random,True,44,0,0,0,0
column,constraint,True,193,5,5,0,0
column,random,True,214,0,0,0,0
column,constraint,True,30,5,5,0,0
column,random,True,39,0,0,0,0
column,constraint,True,2,5,0,0,0
column,random,True,67,0,0,0,0
column,constraint,True,185,5,5,0,0
column,random,True,105,0,0,0,0
column,constraint,True,60,5,5,0,0
column,random,True,158,0,0,0,0
column,constraint,True,24,5,5,0,0
column,random,True,67,0,0,0,0
column,constraint,True,53,5,5,0,0
column,random,True,36,0,0,0,0
column,constraint,True,141,5,5,0,0
column,random,True,162,0,0,0,0
column,constraint,True,51,5,5,0,0
column,random,True,38,0,0,0,0
column,constraint,True,34,5,5,0,0
column,random,True,122,0,0,0,0
column,constraint,True,88,5,5,0,0
column,random,True,78,0,0,0,0
column,constraint,True,68,5,5,0,0
column,random,True,118,0,0,0,0
column,constraint,True,65,5,5,0,0
column,random,True,69,0,0,0,0
column,constraint,True,41,5,5,0,0
column,random,True,159,0,0,0,0
column,constraint,True,40,5,5,0,0
column,random,True,89,0,0,0,0
column,constraint,True,86,5,5,0,0
column,random,True,115,0,0,0,0
column,constraint,True,114,5,5,0,0
column,random,True,133,0,0,0,0
column,constraint,True,236,5,5,0,0
column,random,True,36,0,0,0,0
column,constraint,True,74,5,5,0,0
column,random,True,36,0,0,0,0
column,constraint,True,39,5,5,0,0
column,random,True,164,0,0,0,0
column,constraint,True,47,5,5,0,0
column,random,True,56,0,0,0,0
column,constraint,True,58,5,5,0,0
column,random,True,47,0,0,0,0
column,constraint,True,127,5,5,0,0
column,random,True,186,0,0,0,0
column,constraint,True,27,5,5,0,0
column,random,True,114,0,0,0,0
column,constraint,True,22,5,3,0,0
column,random,True,417,0,0,0,0
column,constraint,True,121,5,5,0,0
column,random,True,126,0,0,0,0
column,constraint,True,98,5,5,0,0
column,random,True,104,0,0,0,0
column,constraint,True,27,5,4,0,0
column,random,True,26,0,0,0,0
column,constraint,True,17,5,2,0,0
column,random,True,66,0,0,0,0
column,constraint,True,30,5,3,0,0
column,random,True,46,0,0,0,0
column,constraint,True,106,5,5,0,0
column,random,True,58,0,0,0,0
column,constraint,True,109,5,5,0,0
column,random,True,5,0,0,0,0
column,constraint,True,207,5,5,0,0
column,random,True,92,0,0,0,0
column,constraint,True,130,5,5,0,0
column,random,True,9,0,0,0,0
column,constraint,True,126,5,5,0,0
column,random,True,27,0,0,0,0
column,constraint,True,19,5,3,0,0
column,random,True,25,0,0,0,0
column,constraint,True,21,5,3,0,0
column,random,True,8,0,0,0,0
column,constraint,True,41,5,5,0,0
column,random,True,46,0,0,0,0
column,constraint,True,29,5,4,0,0
column,random,True,246,0,0,0,0
column,constraint,True,31,5,5,0,0
column,random,True,64,0,0,0,0
column,constraint,True,62,5,5,0,0
column,random,True,64,0,0,0,0
column,constraint,True,99,5,5,0,0
column,random,True,68,0,0,0,0
column,constraint,True,25,5,4,0,0
column,random,True,372,0,0,0,0
column,constraint,True,69,5,5,0,0
column,random,True,314,0,0,0,0
column,constraint,True,64,5,5,0,0
column,random,True,159,0,0,0,0
column,constraint,True,27,5,4,0,0
column,random,True,72,0,0,0,0
column,constraint,True,216,5,5,0,0
column,random,True,51,0,0,0,0
column,constraint,True,16,5,4,0,0
column,random,True,44,0,0,0,0
column,constraint,True,62,5,5,0,0
column,random,True,98,0,0,0,0
column,constraint,True,53,5,5,0,0
column,random,True,67,0,0,0,0
column,constraint,True,173,5,5,0,0
column,random,True,162,0,0,0,0
column,constraint,True,66,5,5,0,0
column,random,True,88,0,0,0,0
column,constraint,True,77,5,5,0,0
column,random,True,18,0,0,0,0
column,constraint,True,6,5,1,0,0
column,random,True,73,0,0,0,0
column,constraint,True,16,5,5,0,0
column,random,True,102,0,0,0,0
column,constraint,True,151,5,5,0,0
column,random,True,244,0,0,0,0
column,constraint,True,105,5,5,0,0
column,random,True,146,0,0,0,0
column,constraint,True,37,5,5,0,0
column,random,True,45,0,0,0,0
column,constraint,True,116,5,5,0,0
column,random,True,78,0,0,0,0
column,constraint,True,39,5,5,0,0
column,random,True,184,0,0,0,0
column,constraint,True,41,5,5,0,0
column,random,True,161,0,0,0,0
column,constraint,True,27,5,4,0,0
column,random,True,30,0,0,0,0
column,constraint,True,29,5,5,0,0
column,random,True,125,0,0,0,0
column,constraint,True,53,5,5,0,0
column,random,True,54,0,0,0,0
column,constraint,True,2,5,0,0,0
column,random,True,307,0,0,0,0
column,constraint,True,317,5,5,0,0
column,random,True,13,0,0,0,0
column,constraint,True,19,5,4,0,0
column,random,True,5,0,0,0,0
column,constraint,True,36,5,5,0,0
column,random,True,34,0,0,0,0
column,constraint,True,304,5,5,0,0
column,random,True,125,0,0,0,0
column,constraint,True,31,5,4,0,0
column,random,True,7,0,0,0,0
column,constraint,True,179,5,5,0,0
column,random,True,298,0,0,0,0
column,constraint,True,60,5,5,0,0
column,random,True,142,0,0,0,0
column,constraint,True,50,5,5,0,0
column,random,True,3,0,0,0,0
column,constraint,True,16,5,4,0,0
column,random,False,502,0,0,0,0
column,constraint,True,112,5,5,0,0
column,random,True,444,0,0,0,0
column,constraint,True,217,5,5,0,0
column,random,True,131,0,0,0,0
column,constraint,True,35,5,5,0,0
column,random,True,295,0,0,0,0
column,constraint,True,141,5,5,0,0
column,random,True,23,0,0,0,0
column,constraint,True,47,5,5,0,0
column,random,True,4,0,0,0,0
column,constraint,True,79,5,5,0,0
column,random,True,328,0,0,0,0
column,constraint,True,10,5,2,0,0
column,random,True,36,0,0,0,0
column,constraint,True,164,5,5,0,0
column,random,True,152,0,0,0,0
column,constraint,True,10,5,2,0,0
column,random,True,31,0,0,0,0
column,constraint,True,33,5,5,0,0
column,random,True,209,0,0,0,0
column,constraint,True,73,5,5,0,0
column,random,True,164,0,0,0,0
column,constraint,True,139,5,5,0,0
column,random,True,45,0,0,0,0
column,constraint,True,83,5,5,0,0
column,random,True,370,0,0,0,0
column,constraint,True,2,5,0,0,0
column,random,True,135,0,0,0,0
column,constraint,True,68,5,5,0,0
column,random,True,26,0,0,0,0
column,constraint,True,33,5,5,0,0
column,random,True,104,0,0,0,0
column,constraint,True,2,5,0,0,0
column,random,True,34,0,0,0,0
column,constraint,True,16,5,3,0,0
column,random,True,52,0,0,0,0
column,constraint,True,231,5,5,0,0
column,random,True,22,0,0,0,0
column,constraint,True,3,5,0,0,0
column,random,True,280,0,0,0,0
column,constraint,True,43,5,5,0,0
column,random,True,48,0,0,0,0
column,constraint,True,29,5,5,0,0
column,random,True,215,0,0,0,0
column,constraint,True,75,5,5,0,0
column,random,True,216,0,0,0,0
column,constraint,True,50,5,5,0,0
column,random,True,33,0,0,0,0
column,constraint,True,110,5,5,0,0
column,random,True,2,0,0,0,0
column,constraint,True,146,5,5,0,0
column,random,True,59,0,0,0,0
column,constraint,True,5,5,1,0,0
column,random,True,91,0,0,0,0
column,constraint,True,39,5,4,0,0
column,random,True,108,0,0,0,0
column,constraint,True,61,5,5,0,0
column,random,True,64,0,0,0,0
column,constraint,True,6,5,2,0,0
column,random,True,5,0,0,0,0
column,constraint,True,110,5,5,0,0
column,random,True,53,0,0,0,0
column,constraint,True,4,5,1,0,0
column,random,True,47,0,0,0,0
column,constraint,True,7,5,2,0,0
column,random,True,14,0,0,0,0
column,constraint,True,56,5,5,0,0
column,random,True,2,0,0,0,0
column,constraint,True,54,5,5,0,0
column,random,True,112,0,0,0,0
column,constraint,True,85,5,5,0,0
column,random,True,72,0,0,0,0
column,constraint,True,22,5,3,0,0
column,random,True,168,0,0,0,0
column,constraint,True,133,5,5,0,0
column,random,True,52,0,0,0,0
column,constraint,True,367,5,5,0,0
column,random,True,19,0,0,0,0
column,constraint,True,65,5,5,0,0
column,random,True,331,0,0,0,0
column,constraint,True,145,5,5,0,0
column,random,True,12,0,0,0,0
column,constraint,True,13,5,4,0,0
column,random,True,56,0,0,0,0
column,constraint,True,74,5,5,0,0
column,random,True,72,0,0,0,0
column,constraint,True,47,5,5,0,0
column,random,False,502,0,0,0,0
column,constraint,True,332,5,5,0,0
column,random,True,115,0,0,0,0
column,constraint,True,29,5,4,0,0
column,random,True,193,0,0,0,0
column,constraint,True,11,5,4,0,0
column,random,True,342,0,0,0,0
column,constraint,True,37,5,5,0,0
column,random,True,187,0,0,0,0
column,constraint,True,65,5,5,0,0
column,random,True,117,0,0,0,0
column,constraint,True,59,5,5,0,0
column,random,True,384,0,0,0,0
column,constraint,True,65,5,5,0,0
column,random,True,308,0,0,0,0
column,constraint,True,14,5,3,0,0
column,random,True,114,0,0,0,0
column,constraint,True,51,5,5,0,0
column,random,True,74,0,0,0,0
column,constraint,True,30,5,5,0,0
column,random,True,36,0,0,0,0
column,constraint,True,24,5,5,0,0
column,random,True,14,0,0,0,0
column,constraint,True,46,5,5,0,0
column,random,True,204,0,0,0,0
column,constraint,True,19,5,4,0,0
column,random,True,138,0,0,0,0
column,constraint,True,139,5,5,0,0
column,random,True,40,0,0,0,0
column,constraint,True,203,5,5,0,0
column,random,True,14,0,0,0,0
column,constraint,True,335,5,5,0,0
column,random,True,14,0,0,0,0
column,constraint,True,39,5,5,0,0
column,random,True,2,0,0,0,0
column,constraint,True,92,5,5,0,0
column,random,True,33,0,0,0,0
column,constraint,True,9,5,1,0,0
column,random,True,42,0,0,0,0
column,constraint,True,28,5,4,0,0
column,random,True,162,0,0,0,0
column,constraint,True,258,5,5,0,0
column,random,True,39,0,0,0,0
column,constraint,True,51,5,5,0,0
column,random,True,18,0,0,0,0
column,constraint,True,349,5,5,0,0
column,random,True,448,0,0,0,0
column,constraint,True,59,5,5,0,0
column,random,True,64,0,0,0,0
column,constraint,True,16,5,3,0,0
column,random,True,260,0,0,0,0
column,constraint,True,22,5,2,0,0
column,random,True,139,0,0,0,0
column,constraint,True,289,5,5,0,0
column,random,True,18,0,0,0,0
column,constraint,True,19,5,3,0,0
column,random,True,48,0,0,0,0
column,constraint,True,33,5,5,0,0
column,random,True,14,0,0,0,0
column,constraint,True,44,5,5,0,0
column,random,True,402,0,0,0,0
column,constraint,True,39,5,5,0,0
column,random,True,112,0,0,0,0
column,constraint,True,56,5,5,0,0
column,random,True,96,0,0,0,0
column,constraint,True,289,5,5,0,0
column,random,True,75,0,0,0,0
column,constraint,True,42,5,5,0,0
column,random,True,92,0,0,0,0
column,constraint,True,12,5,2,0,0
column,random,True,32,0,0,0,0
column,constraint,True,54,5,5,0,0
column,random,True,10,0,0,0,0
column,constraint,True,55,5,5,0,0
column,random,True,10,0,0,0,0
column,constraint,True,150,5,5,0,0
column,random,True,217,0,0,0,0
column,constraint,True,231,5,5,0,0
column,random,True,478,0,0,0,0
column,constraint,True,101,5,5,0,0
column,random,True,6,0,0,0,0
column,constraint,True,71,5,5,0,0
column,random,True,145,0,0,0,0
column,constraint,True,21,5,4,0,0
column,random,True,12,0,0,0,0
column,constraint,True,210,5,5,0,0
column,random,True,488,0,0,0,0
column,constraint,True,20,5,4,0,0
column,random,True,136,0,0,0,0
column,constraint,True,39,5,5,0,0
column,random,True,194,0,0,0,0
column,constraint,True,79,5,5,0,0
column,random,True,158,0,0,0,0
column,constraint,True,82,5,5,0,0
column,random,True,61,0,0,0,0
column,constraint,True,21,5,5,0,0
column,random,True,162,0,0,0,0
column,constraint,True,8,5,2,0,0
column,random,True,323,0,0,0,0
column,constraint,True,31,5,5,0,0
column,random,True,397,0,0,0,0
column,constraint,True,4,5,1,0,0
column,random,True,234,0,0,0,0
column,constraint,True,35,5,5,0,0
column,random,True,216,0,0,0,0
column,constraint,True,54,5,5,0,0
column,random,True,26,0,0,0,0
column,constraint,True,21,5,3,0,0
column,random,True,28,0,0,0,0
column,constraint,True,46,5,5,0,0
column,random,True,36,0,0,0,0
column,constraint,True,51,5,5,0,0
column,random,True,122,0,0,0,0
column,constraint,True,115,5,5,0,0
column,random,True,116,0,0,0,0
column,constraint,True,11,5,2,0,0
column,random,True,102,0,0,0,0
column,constraint,True,70,5,5,0,0
column,random,True,65,0,0,0,0
column,constraint,True,89,5,5,0,0
column,random,True,18,0,0,0,0
column,constraint,True,93,5,5,0,0
column,random,True,10,0,0,0,0
column,constraint,True,3,5,0,0,0
column,random,True,112,0,0,0,0
column,constraint,True,47,5,5,0,0
column,random,True,152,0,0,0,0
column,constraint,True,41,5,5,0,0
column,random,True,168,0,0,0,0
column,constraint,True,98,5,5,0,0
column,random,True,209,0,0,0,0
column,constraint,True,372,5,5,0,0
column,random,True,25,0,0,0,0
column,constraint,True,109,5,5,0,0
column,random,True,84,0,0,0,0
column,constraint,True,83,5,5,0,0
column,random,True,86,0,0,0,0
column,constraint,True,93,5,5,0,0
column,random,True,164,0,0,0,0
column,constraint,True,26,5,5,0,0
column,random,True,50,0,0,0,0
column,constraint,True,211,5,5,0,0
column,random,True,203,0,0,0,0
column,constraint,True,57,5,5,0,0
column,random,True,84,0,0,0,0
column,constraint,True,79,5,5,0,0
column,random,True,50,0,0,0,0
column,constraint,True,12,5,3,0,0
column,random,True,118,0,0,0,0
column,constraint,True,60,5,5,0,0
column,random,True,30,0,0,0,0
column,constraint,True,2,5,0,0,0
column,random,True,98,0,0,0,0
column,constraint,True,347,5,5,0,0
column,random,True,10,0,0,0,0
column,constraint,True,92,5,5,0,0
column,random,True,33,0,0,0,0
column,constraint,True,18,5,3,0,0
column,random,True,80,0,0,0,0
column,constraint,True,33,5,5,0,0
column,random,True,2,0,0,0,0
column,constraint,True,21,5,5,0,0
column,random,True,32,0,0,0,0
column,constraint,True,21,5,5,0,0
column,random,True,104,0,0,0,0
column,constraint,True,70,5,5,0,0
column,random,True,86,0,0,0,0
column,constraint,True,37,5,5,0,0
column,random,True,134,0,0,0,0
column,constraint,True,137,5,5,0,0
column,random,True,220,0,0,0,0
column,constraint,True,71,5,5,0,0
column,random,False,502,0,0,0,0
column,constraint,True,43,5,5,0,0
column,random,True,22,0,0,0,0
column,constraint,True,117,5,5,0,0
column,random,True,15,0,0,0,0
column,constraint,True,50,5,5,0,0
column,random,True,22,0,0,0,0
column,constraint,True,205,5,5,0,0
column,random,True,343,0,0,0,0
column,constraint,True,137,5,5,0,0
column,random,True,42,0,0,0,0
column,constraint,True,127,5,5,0,0
column,random,True,4,0,0,0,0
column,constraint,True,16,5,3,0,0
column,random,True,33,0,0,0,0
column,constraint,True,99,5,5,0,0
column,random,True,218,0,0,0,0
column,constraint,True,45,5,5,0,0
column,random,True,52,0,0,0,0
column,constraint,True,69,5,5,0,0
column,random,True,228,0,0,0,0
column,constraint,True,79,5,5,0,0
column,random,True,178,0,0,0,0
column,constraint,True,2,5,0,0,0
column,random,True,68,0,0,0,0
column,constraint,True,21,5,4,0,0
column,random,True,165,0,0,0,0
column,constraint,True,10,5,3,0,0
column,random,True,50,0,0,0,0
column,constraint,True,28,5,5,0,0
column,random,True,86,0,0,0,0
column,constraint,True,162,5,5,0,0
column,random,True,155,0,0,0,0
column,constraint,True,71,5,5,0,0
column,random,True,60,0,0,0,0
column,constraint,True,16,5,3,0,0
column,random,True,74,0,0,0,0
column,constraint,True,15,5,2,0,0
column,random,True,22,0,0,0,0
column,constraint,True,58,5,5,0,0
column,random,True,8,0,0,0,0
column,constraint,True,44,5,4,0,0
column,random,True,164,0,0,0,0
column,constraint,True,31,5,4,0,0
column,random,True,59,0,0,0,0
column,constraint,True,32,5,5,0,0
column,random,True,4,0,0,0,0
column,constraint,True,59,5,5,0,0
column,random,True,380,0,0,0,0
column,constraint,True,11,5,3,0,0
column,random,True,30,0,0,0,0
column,constraint,True,175,5,5,0,0
column,random,True,6,0,0,0,0
column,constraint,True,23,5,3,0,0
column,random,True,86,0,0,0,0
column,constraint,True,49,5,5,0,0
column,random,True,280,0,0,0,0
column,constraint,True,103,5,5,0,0
column,random,True,52,0,0,0,0
column,constraint,True,39,5,5,0,0
column,random,True,468,0,0,0,0
column,constraint,True,329,5,5,0,0
column,random,True,74,0,0,0,0
column,constraint,True,37,5,5,0,0
column,random,True,136,0,0,0,0
column,constraint,True,111,5,5,0,0
column,random,True,36,0,0,0,0
column,constraint,True,90,5,5,0,0
column,random,True,174,0,0,0,0
